level,cumulative_xp,xp_to_next_level,percent_of_level_99_xp
1,0,2224,0.00000
2,2224,2555,0.04448
3,4779,2891,0.09558
4,7670,3231,0.15340
5,10901,3577,0.21802
6,14478,3926,0.28956
7,18404,4282,0.36808
8,22686,4643,0.45372
9,27329,5010,0.54658
10,32339,5384,0.64678
11,37723,5763,0.75446
12,43486,6149,0.86972
13,49635,6543,0.99270
14,56178,6943,1.12356
15,63121,7352,1.26242
16,70473,7769,1.40946
17,78242,8193,1.56484
18,86435,8628,1.72870
19,95063,9071,1.90126
20,104134,9524,2.08268
21,113658,9987,2.27316
22,123645,10462,2.47290
23,134107,10946,2.68214
24,145053,11444,2.90106
25,156497,11952,3.12994
26,168449,12475,3.36898
27,180924,13010,3.61848
28,193934,13559,3.87868
29,207493,14124,4.14986
30,221617,14704,4.43234
31,236321,15300,4.72642
32,251621,15913,5.03242
33,267534,16544,5.35068
34,284078,17194,5.68156
35,301272,17862,6.02544
36,319134,18552,6.38268
37,337686,19262,6.75372
38,356948,19996,7.13896
39,376944,20752,7.53888
40,397696,21533,7.95392
41,419229,22341,8.38458
42,441570,23174,8.83140
43,464744,24036,9.29488
44,488780,24928,9.77560
45,513708,25850,10.27416
46,539558,26806,10.79116
47,566364,27794,11.32728
48,594158,28819,11.88316
49,622977,29881,12.45954
50,652858,30981,13.05716
51,683839,32123,13.67678
52,715962,33308,14.31924
53,749270,34536,14.98540
54,783806,35813,15.67612
55,819619,37137,16.39238
56,856756,38515,17.13512
57,895271,39945,17.90542
58,935216,41432,18.70432
59,976648,42978,19.53296
60,1019626,44586,20.39252
61,1064212,46259,21.28424
62,1110471,48000,22.20942
63,1158471,49811,23.16942
64,1208282,51698,24.16564
65,1259980,53662,25.19960
66,1313642,55709,26.27284
67,1369351,57839,27.38702
68,1427190,60061,28.54380
69,1487251,62376,29.74502
70,1549627,64789,30.99254
71,1614416,67306,32.28832
72,1681722,69929,33.63444
73,1751651,72666,35.03302
74,1824317,75521,36.48634
75,1899838,78500,37.99676
76,1978338,81609,39.56676
77,2059947,84853,41.19894
78,2144800,88239,42.89600
79,2233039,91775,44.66078
80,2324814,95467,46.49628
81,2420281,99321,48.40562
82,2519602,103347,50.39204
83,2622949,107552,52.45898
84,2730501,111946,54.61002
85,2842447,116534,56.84894
86,2958981,121330,59.17962
87,3080311,126340,61.60622
88,3206651,131577,64.13302
89,3338228,137050,66.76456
90,3475278,142770,69.50556
91,3618048,148751,72.36096
92,3766799,155002,75.33598
93,3921801,161537,78.43602
94,4083338,168372,81.66676
95,4251710,175517,85.03420
96,4427227,182990,88.54454
97,4610217,190805,92.20434
98,4801022,198978,96.02044
99,5000000,,100.00000
